stop_id,stop_name,stop_id2,stop_lat,stop_lon, ,rider_id,rider_name,Borough,Rides2019,Rides2020,Linked,check_link,link,node_link
101,Van Cortlandt Park-242 St,101,40.889248,-73.898583,,62,Van Cortlandt Park-242 St (1),Bx,2189109,980836,1,101,,101
103,238 St,103,40.884667,-73.90087,,17,238 St (1),Bx,1204095,588199,1,103,,103
104,231 St,104,40.878856,-73.904834,,15,231 St (1),Bx,2919305,1289691,1,104,,104
106,Marble Hill-225 St,106,40.874561,-73.909831,,334,Marble Hill-225 St (1),M,1561844,754010,1,106,,106
107,215 St,107,40.869444,-73.915279,,261,215 St (1),M,527505,212402,1,107,,107
108,207 St,108,40.864621,-73.918822,,260,207 St (1),M,1853146,892067,1,108,,108
109,Dyckman St,109,40.860531,-73.925536,,321,Dyckman St (1),M,2079656,1055222,2,LINK,LINK_109,LINK_109
110,191 St,110,40.855225,-73.929412,,258,191 St (1),M,2333160,453577,1,110,,110
111,181 St,111,40.849505,-73.933596,,255,181 St (1),M,3523536,1682772,2,LINK,LINK_111,LINK_111
112,168 St-Washington Hts,112,40.840556,-73.940133,,252,"168 St (A,C,1)",M,6156288,3265733,2,LINK,LINK_112,LINK_112
113,157 St,113,40.834041,-73.94489,,250,157 St (1),M,3739786,1414356,1,113,,113
114,145 St,114,40.826551,-73.95036,,245,145 St (1),M,2936613,1264852,1,114,,114
115,137 St-City College,115,40.822008,-73.953676,,241,137 St-City College (1),M,3874783,1717440,1,115,,115
116,125 St,116,40.815581,-73.958372,,235,125 St (1),M,2368025,967478,1,116,,116
117,116 St-Columbia University,117,40.807722,-73.96411,,234,116 St-Columbia University (1),M,4380469,1316284,1,117,,117
118,Cathedral Pkwy (110 St),118,40.803967,-73.966847,,313,Cathedral Pkwy-110 St (1),M,3703893,1433586,1,118,,118
119,103 St,119,40.799446,-73.968379,,227,103 St (1),M,3766055,1470254,1,119,,119
120,96 St,120,40.793919,-73.972323,,300,"96 St (1,2,3)",M,11628887,4293386,1,120,,120
121,86 St,121,40.788644,-73.976218,,296,86 St (1),M,5659795,2076862,1,121,,121
122,79 St,122,40.783934,-73.979917,,293,79 St (1),M,4745863,1678293,1,122,,122
123,72 St,123,40.778453,-73.98197,,289,"72 St (1,2,3)",M,12379560,4498641,1,123,,123
124,66 St-Lincoln Center,124,40.77344,-73.982209,,286,66 St-Lincoln Center (1),M,7068256,2141714,1,124,,124
125,59 St-Columbus Circle,125,40.768247,-73.981929,,285,"59 St-Columbus Circle (A,B,C,D,1)",M,23040650,7618925,2,LINK,LINK_125,LINK_125
126,50 St,126,40.761728,-73.983849,,281,50 St (1),M,8134360,2213137,1,126,,126
127,Times Sq-42 St,127,40.75529,-73.987495,,342,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",M,65020294,20341240,5,LINK,LINK_127,LINK_127
128,34 St-Penn Station,128,40.750373,-73.991057,,274,"34 St-Penn Station (1,2,3)",M,25967676,8103809,1,128,,128
129,28 St,129,40.747215,-73.993365,,267,28 St (1),M,4493352,1367598,1,129,,129
130,23 St,130,40.744081,-73.995657,,262,23 St (1),M,4627755,1566363,1,130,,130
131,18 St,131,40.74104,-73.997871,,254,18 St (1),M,2649616,803924,1,131,,131
132,14 St,132,40.737826,-74.000201,,243,"14 St (F,M,1,2,3)/6 Av (L)",M,14736035,5057029,3,LINK,LINK_132,LINK_132
133,Christopher St-Sheridan Sq,133,40.733422,-74.002906,,318,Christopher St-Sheridan Sq (1),M,3412332,1067635,1,133,,133
134,Houston St,134,40.728251,-74.005367,,329,Houston St (1),M,4496793,1378640,1,134,,134
135,Canal St,135,40.722854,-74.006277,,310,Canal St (1),M,1984827,560302,1,135,,135
136,Franklin St,136,40.719318,-74.006886,,324,Franklin St (1),M,1567005,501136,1,136,,136
137,Chambers St,137,40.715478,-74.009266,,316,"Chambers St (1,2,3)",M,5941546,1781685,1,137,,137
138,WTC Cortlandt,138,40.711835,-74.012188,,346,WTC Cortlandt (1),M,4232521,1138815,1,138,,138
139,Rector St,139,40.707513,-74.013783,,336,Rector St (1),M,2554523,708206,1,139,,139
142,South Ferry,142,40.702068,-74.013664,,339,"South Ferry (1)/Whitehall St (R,W)",M,10272682,3065053,2,LINK,LINK_142,LINK_142
201,Wakefield-241 St,201,40.903125,-73.85062,,63,Wakefield-241 St (2),Bx,1404748,711029,1,201,,201
204,Nereid Av,204,40.898379,-73.854376,,52,"Nereid Av (2,5)",Bx,1006617,470230,1,204,,204
205,233 St,205,40.893193,-73.857473,,16,"233 St (2,5)",Bx,1445532,721495,1,205,,205
206,225 St,206,40.888022,-73.860341,,14,"225 St (2,5)",Bx,1187486,549296,1,206,,206
207,219 St,207,40.883895,-73.862633,,13,"219 St (2,5)",Bx,979390,457388,1,207,,207
208,Gun Hill Rd,208,40.87785,-73.866256,,39,"Gun Hill Rd (2,5)",Bx,2271942,1012373,2,LINK,LINK_208,LINK_208
209,Burke Av,209,40.871356,-73.867164,,27,"Burke Av (2,5)",Bx,1000896,480152,1,209,,209
210,Allerton Av,210,40.865462,-73.867352,,20,"Allerton Av (2,5)",Bx,1614464,760068,1,210,,210
211,Pelham Pkwy,211,40.857192,-73.867615,,56,"Pelham Pkwy (2,5)",Bx,2651208,1222206,2,LINK,LINK_211,LINK_211
212,Bronx Park East,212,40.848828,-73.868457,,24,"Bronx Park East (2,5)",Bx,769303,354016,1,212,,212
213,E 180 St,213,40.841894,-73.873488,,33,"East 180 St (2,5)",Bx,2211198,1142139,1,213,,213
214,West Farms Sq-E Tremont Av,214,40.840295,-73.880049,,64,"West Farms Sq-East Tremont Av (2,5)",Bx,2104945,947252,1,214,,214
215,174 St,215,40.837288,-73.887734,,8,"174 St (2,5)",Bx,2057118,953564,1,215,,215
216,Freeman St,216,40.829993,-73.891865,,38,"Freeman St (2,5)",Bx,1358821,642087,1,216,,216
217,Simpson St,217,40.824073,-73.893064,,59,"Simpson St (2,5)",Bx,2602749,1230833,1,217,,217
218,Intervale Av,218,40.822181,-73.896736,,42,"Intervale Av (2,5)",Bx,964689,472958,1,218,,218
219,Prospect Av,219,40.819585,-73.90177,,58,"Prospect Av (2,5)",Bx,2148059,1021781,1,219,,219
220,Jackson Av,220,40.81649,-73.907807,,43,"Jackson Av (2,5)",Bx,1584727,740308,1,220,,220
221,3 Av-149 St,221,40.816109,-73.917757,,19,"3 Av-149 St (2,5)",Bx,6768255,3166766,1,221,,221
222,149 St-Grand Concourse,222,40.81841,-73.926718,,2,"149 St-Grand Concourse (2,4,5)",Bx,3931908,1815785,2,LINK,LINK_222,LINK_222
224,135 St,224,40.814229,-73.94077,,239,"135 St (2,3)",M,4268823,1867402,1,224,,224
225,125 St,225,40.807754,-73.945495,,236,"125 St (2,3)",M,4644262,1848803,1,225,,225
226,116 St,226,40.802098,-73.949625,,231,"116 St (2,3)",M,3345661,1375593,1,226,,226
227,Central Park North (110 St),227,40.799075,-73.951822,,315,"Central Park North-110 St (2,3)",M,2666985,1060348,1,227,,227
228,Park Place,228,40.713051,-74.008811,,317,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,20820549,5930847,4,LINK,LINK_317,LINK_317
229,Fulton St,229,40.709416,-74.006571,,325,"Fulton St (A,C,J,Z,2,3,4,5)",M,27715365,8855302,4,LINK,LINK_229,LINK_229
230,Wall St,230,40.706821,-74.0091,,343,"Wall St (2,3)",M,6910581,2029161,1,230,,230
231,Clark St,231,40.697466,-73.993086,,129,"Clark St (2,3)",B,1781419,589682,1,231,,231
232,Borough Hall,232,40.693219,-73.989998,,136,"Court St (R)/Borough Hall (2,3,4,5)",B,10135722,3356706,3,LINK,LINK_232,LINK_232
233,Hoyt St,233,40.690545,-73.985065,,165,"Hoyt St (2,3)",B,2293256,898643,1,233,,233
234,Nevins St,234,40.688246,-73.980492,,191,"Nevins St (2,3,4,5)",B,3150597,1189273,1,234,,234
235,Atlantic Av-Barclays Ctr,235,40.684359,-73.977666,,95,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",B,13939794,5474265,3,LINK,LINK_235,LINK_235
236,Bergen St,236,40.680829,-73.975098,,114,"Bergen St (2,3)",B,1208319,435520,1,236,,236
237,Grand Army Plaza,237,40.675235,-73.971046,,157,"Grand Army Plaza (2,3)",B,2295401,813305,1,237,,237
238,Eastern Pkwy-Brooklyn Museum,238,40.671987,-73.964375,,144,"Eastern Pkwy-Brooklyn Museum (2,3)",B,1338351,441688,1,238,,238
239,Franklin Av-Medgar Evers College,239,40.670682,-73.958131,,152,"Franklin Av (2,3,4,5)/Botanic Garden (S)",B,4999385,1849090,3,LINK,LINK_239,LINK_239
241,President St-Medgar Evers College,241,40.667883,-73.950683,,204,"President St (2,5)",B,1037219,443229,1,241,,241
242,Sterling St,242,40.662742,-73.95085,,214,"Sterling St (2,5)",B,1654809,745895,1,242,,242
243,Winthrop St,243,40.656652,-73.9502,,224,"Winthrop St (2,5)",B,1882065,974253,1,243,,243
244,Church Av,244,40.650843,-73.949575,,126,"Church Av (2,5)",B,2862033,1335645,1,244,,244
245,Beverly Rd,245,40.645098,-73.948959,,117,"Beverly Rd (2,5)",B,1284232,607427,1,245,,245
246,Newkirk Av-Little Haiti,246,40.639967,-73.948411,,195,"Newkirk Av (2,5)",B,2131839,1021789,1,246,,246
247,Flatbush Av-Brooklyn College,247,40.632836,-73.947642,,146,"Flatbush Av-Brooklyn College (2,5)",B,5684108,2404776,1,247,,247
248,Nostrand Av,248,40.669847,-73.950466,,198,Nostrand Av (3),B,1370372,512753,1,248,,248
249,Kingston Av,249,40.669399,-73.942161,,173,Kingston Av (3),B,1472802,620880,1,249,,249
250,Crown Hts-Utica Av,250,40.668897,-73.932942,,138,"Crown Heights-Utica Av (3,4)",B,7933008,3654953,1,250,,250
251,Sutter Av-Rutland Rd,251,40.664717,-73.92261,,216,Sutter Av-Rutland Rd (3),B,2019485,995590,1,251,,251
252,Saratoga Av,252,40.661453,-73.916327,,210,Saratoga Av (3),B,1556357,786160,1,252,,252
253,Rockaway Av,253,40.662549,-73.908946,,208,Rockaway Av (3),B,1451431,722986,1,253,,253
254,Junius St,254,40.663515,-73.902447,,169,Junius St (3),B,676092,346436,1,254,,254
255,Pennsylvania Av,255,40.664635,-73.894895,,203,Pennsylvania Av (3),B,1360708,662596,1,255,,255
256,Van Siclen Av,256,40.665449,-73.889395,,219,Van Siclen Av (3),B,853106,413650,1,256,,256
257,New Lots Av,257,40.666235,-73.884079,,192,New Lots Av (3),B,1643487,800943,1,257,,257
301,Harlem-148 St,301,40.82388,-73.93647,,328,Harlem-148 St (3),M,1120454,473937,1,301,,301
302,145 St,302,40.820421,-73.936245,,246,145 St (3),M,954825,438388,1,302,,302
401,Woodlawn,401,40.886037,-73.878751,,67,Woodlawn (4),Bx,2094285,949554,1,401,,401
402,Mosholu Pkwy,402,40.87975,-73.884655,,50,Mosholu Pkwy (4),Bx,2491758,1274467,1,402,,402
405,Bedford Park Blvd-Lehman College,405,40.873412,-73.890064,,23,Bedford Park Blvd-Lehman College (4),Bx,1538253,691845,1,405,,405
406,Kingsbridge Rd,406,40.86776,-73.897174,,44,Kingsbridge Rd (4),Bx,2733096,1357273,1,406,,406
407,Fordham Rd,407,40.862803,-73.901034,,36,Fordham Rd (4),Bx,3120976,1580225,1,407,,407
408,183 St,408,40.858407,-73.903879,,12,183 St (4),Bx,1779224,951634,1,408,,408
409,Burnside Av,409,40.853453,-73.907684,,28,Burnside Av (4),Bx,3113514,1473081,1,409,,409
410,176 St,410,40.84848,-73.911794,,10,176 St (4),Bx,1713696,876865,1,410,,410
411,Mt Eden Av,411,40.844434,-73.914685,,51,Mt Eden Av (4),Bx,1551038,823443,1,411,,411
412,170 St,412,40.840075,-73.917791,,6,170 St (4),Bx,2487611,1265950,1,412,,412
413,167 St,413,40.835537,-73.9214,,4,167 St (4),Bx,2653237,1396287,1,413,,413
414,161 St-Yankee Stadium,414,40.827994,-73.925831,,3,"161 St-Yankee Stadium (B,D,4)",Bx,8254928,3221651,2,LINK,LINK_414,LINK_414
415,149 St-Grand Concourse,415,40.818375,-73.927351,,2,"149 St-Grand Concourse (2,4,5)",Bx,3931908,1815785,2,LINK,LINK_222,LINK_222
416,138 St-Grand Concourse,416,40.813224,-73.929849,,1,"138 St-Grand Concourse (4,5)",Bx,1035878,371408,1,416,,416
418,Fulton St,418,40.710368,-74.009509,,325,"Fulton St (A,C,J,Z,2,3,4,5)",M,27715365,8855302,4,LINK,LINK_229,LINK_229
419,Wall St,419,40.707557,-74.011862,,344,"Wall St (4,5)",M,5720475,1710383,1,419,,419
420,Bowling Green,420,40.704817,-74.014065,,306,"Bowling Green (4,5)",M,8362034,2503222,1,420,,420
423,Borough Hall,423,40.692404,-73.990151,,136,"Court St (R)/Borough Hall (2,3,4,5)",B,10135722,3356706,3,LINK,LINK_232,LINK_232
